nom,statut,chapeau,pores,lames,pied,chair,odeur,saveur,habitat,saison,a_un_chapeau,a_des_pores,a_des_lames,a_un_pied,a_de_la_chair,chapeau_couleur_blanc,chapeau_couleur_brun,chapeau_couleur_jaune,chapeau_couleur_rouge,chapeau_couleur_orange,chapeau_couleur_rose,chapeau_couleur_gris,chapeau_couleur_noir,chapeau_couleur_vert,chapeau_couleur_bleu,chapeau_couleur_violet,chapeau_couleur_ocre,chapeau_couleur_roux,chapeau_texture_lisse,chapeau_texture_meches,chapeau_texture_floconneux,chapeau_texture_visqueux,chapeau_texture_velours,chapeau_texture_ecailleux,chapeau_texture_craquele,chapeau_texture_strie,pores_couleur_blanc,pores_couleur_brun,pores_couleur_jaune,pores_couleur_rouge,pores_couleur_orange,pores_couleur_rose,pores_couleur_gris,pores_couleur_noir,pores_couleur_vert,pores_couleur_bleu,pores_couleur_violet,pores_couleur_ocre,pores_couleur_roux,pores_attache_libres,pores_attache_adnees,pores_attache_decurrentes,pores_attache_echancrees,pores_attache_serrees,pores_attache_espacees,lames_couleur_blanc,lames_couleur_brun,lames_couleur_jaune,lames_couleur_rouge,lames_couleur_orange,lames_couleur_rose,lames_couleur_gris,lames_couleur_noir,lames_couleur_vert,lames_couleur_bleu,lames_couleur_violet,lames_couleur_ocre,lames_couleur_roux,lames_attache_libres,lames_attache_adnees,lames_attache_decurrentes,lames_attache_echancrees,lames_attache_serrees,lames_attache_espacees,pied_couleur_blanc,pied_couleur_brun,pied_couleur_jaune,pied_couleur_rouge,pied_couleur_orange,pied_couleur_rose,pied_couleur_gris,pied_couleur_noir,pied_couleur_vert,pied_couleur_bleu,pied_couleur_violet,pied_couleur_ocre,pied_couleur_roux,pied_texture_lisse,pied_texture_meches,pied_texture_floconneux,pied_texture_visqueux,pied_texture_velours,pied_texture_ecailleux,pied_texture_craquele,pied_texture_strie,pied_morpho_anneau,pied_morpho_volve,pied_morpho_bulbe,pied_morpho_massue,pied_morpho_creux,pied_morpho_elance,pied_morpho_cylindrique,pied_morpho_reseau,chair_couleur_blanc,chair_couleur_brun,chair_couleur_jaune,chair_couleur_rouge,chair_couleur_orange,chair_couleur_rose,chair_couleur_gris,chair_couleur_noir,chair_couleur_vert,chair_couleur_bleu,chair_couleur_violet,chair_couleur_ocre,chair_couleur_roux,chair_consistance_ferme,chair_consistance_tendre,chair_consistance_molle,chair_consistance_cassante,chair_consistance_elastique,chair_consistance_epaisse,chair_consistance_fibreuse,chair_consistance_spongieuse,odeur_type_anise,odeur_type_phenol,odeur_type_iode,odeur_type_radis,odeur_type_farine,odeur_type_amande,odeur_type_terre,odeur_type_fruitee,odeur_type_desagreable,saveur_type_douce,saveur_type_amere,saveur_type_acide,saveur_type_piquante,saveur_type_poivree,saveur_type_iodee,saveur_type_desagreable,saveur_type_sans_saveur,chapeau_taille_min_cm,chapeau_taille_max_cm,pied_taille_min_cm,pied_taille_max_cm,saison_mois_01,saison_mois_02,saison_mois_03,saison_mois_04,saison_mois_05,saison_mois_06,saison_mois_07,saison_mois_08,saison_mois_09,saison_mois_10,saison_mois_11,saison_mois_12,habitat_type_feuillus,habitat_type_coniferes,habitat_type_foret,habitat_type_prairies,habitat_type_clairieres,habitat_type_lisieres,habitat_type_jardins,habitat_type_bois,habitat_type_chenes,habitat_type_hetres,habitat_type_pins,habitat_type_bouleaux,habitat_type_chataigniers,habitat_type_charmes,habitat_type_melezes,habitat_type_bois_morts
BOLET À PIED ROUGE,Les bons champignons,"5 à 20 cm, sec, feutré, sombre et uniforme, brun chocolat à brun rougeâtre","Fins, orangés à rouge vif, très fortement bleuissants.",,"5 à 15 cm, épais, jaune à orangé, moucheté de petits points rouge vif très denses","Jaune vif, très vivement bleuissante",Faible,Douce,Forêts de feuillus et de conifères,Juin > Novembre,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5.0,20.0,5.0,15.0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BOLET AMER,Champignon à rejeter,"5 à 15 cm, mat, sec, café au lait, chamois ou ocre beige pâle, souvent craquelé par temps sec.","Larges, blancs puis roses",,"7 à 15 cm, souvent en massue, crème à beige, avec un réseau en relief sombre bien net",Blanchâtre,"Agréable, de cèpe",Très amère,Forêts de conifères,Juillet > Novembre,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.0,15.0,7.0,15.0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BOLET APPENDICULÉ,Les bons champignons,"3 5 à 18 cm, sec, parfois velouté, brun clair à brun rougeâtre.","Fins, jaunes, faiblement bleuissants au toucher.",,"5 à 15 cm, ventru, pointu à la base, jaune clair et brun rougeâtre en bas, avec un fin réseau jaune.","Épaisse, jaunâtre, faiblement bleuissante","Faible, agréable, de viande hachée ou d’huile de noix",Douce,"Forêts de feuillus, surtout sous chênes et hêtres",Juillet > Octobre,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5.0,18.0,5.0,15.0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
BOLET BAI,Les bons champignons,"5 à 15 cm, velouté par temps sec, visqueux par temps humide, brun-châtain uniforme à brun foncé, parfois très sombre","Fins, blanchâtres puis jaune olivâtre, très nettement bleuissants.",,"5 à 12 cm, lisse, cylindrique, brun ochracé à roussâtre","Ferme, blanchâtre à jaunâtre, bleuissante","Faible, de cèpe",Douce,"Forêts de conifères, surtout sous les pins",Juin > Novembre,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5.0,15.0,5.0,12.0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
BOLET BLAFARD,Les champignons toxiques,"5 à 20 cm, sec, velouté, de couleur variable, ochracé à brun rosâtre, teinté de verdâtre, typiquement terne et blafard","Fins, jaunes puis vite rouge orangé, bleuissants au toucher.",,"5 à 15 cm, robuste, jaune à jaune orangé, avec un net réseau rouge","Jaunâtre, avec une ligne rouge juste au-dessus des tubes à la coupe, bleuissante",Faible mais agréable,Douce,Forêt de feuillus,Juillet > Septembre,1,1,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5.0,20.0,5.0,15.0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BOLET CHÂTAIN,Les champignons toxiques,"3 à 12 cm, sec, mat, brun-châtain sombre à cannelle ou brun ocre pâle, velouté jeune",Blancs puis crème,,"4 à 8 cm, creux, cassant, irrégulier, même couleur que le chapeau",Blanche,Faible,Douce,Forêts de feuillus et conifères,Août > Novembre,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.0,12.0,4.0,8.0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BOLET CRAQUELÉ,Les champignons mediocres,"4 à 15 cm, velouté, mat, jaune, brun-jaune ou fauve-orangé, craquelé à maturité","Fins, beige-jaunâtre à jaune vif, brunissant au toucher",,"5 à 12 cm, épais, plus fin à la base, jaune, couvert de fines mèches jaunes puis brunâtres ou noirâtres","Blanchâtre, devenant rose-rougeâtre à la coupe, puis violacée et enfin noirâtre",Faible,Douce,"Forêts de feuillus, surtout sous chênes et hêtres",Juin > Octobre,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.0,15.0,5.0,12.0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
BOLET DE QUÉLET,Les bons champignons,"5 à 15 cm, velouté, sec, couleur variable, brun-orangé, cuivré, ou brun-rouge.","Jaunes puis orangés et enfin rouges, bleuissants.",,"5 à 15 cm, jaune au sommet, rouge betterave à la base, bleuissant, finement ponctué de rouge.","Jaune, rouge betterave dans la base du pied.",Faible,Douce,"Forêts de feuillus, surtout sous chênes",Juin > Novembre,1,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5.0,15.0,5.0,15.0,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
BOLET DES BOUVIERS,Champignon à rejeter,"4 à 10 cm, visqueux, mou, brun-jaune, ocre à beige, parfois teinté de rose","Adnés à décurrents, larges, anguleux, jaunes à olivâtres",,"3 à 10 cm, mince, lisse, de même couleur que le chapeau ou plus clair","Crème à jaunâtre, molle, élastique, un peu bleuissante",Faible,Douce,Uniquement sous les pins,Juillet > Novembre,1,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.0,10.0,3.0,10.0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
BOLET DES CHÊNES VERTS,Les champignons mediocres,"3 à 15 cm, feutré, bosselé, souvent craquelé, brun foncé à brun-fauve ou brun ochracé","Fins, jaune citron à jaune olivâtre, roussissant au toucher",,"8 à 11 cm, jaunâtre, roussissant au toucher, couvert de fines mèches jaunes","Crème à jaunâtre, devenant gris-violet, puis noirâtre à la coupe",Faible,Douce,Uniquement sous les chênes verts et les chênes-lièges,Juin > Octobre,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.0,15.0,8.0,11.0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
BOLET ÉLÉGANT,Champignon à rejeter,"2 à 15 cm, lisse, visqueux, jaune citron, jaune orangé vif à roussâtre","Fins, jaune vif, brunissant au toucher",,"3 à 12 cm, visqueux, jaune au sommet, veiné de roussâtre vers la base, avec un anneau blanchâtre",Jaune vif puis crème,"Faible, de cèpe",Douce,"Toujours sous les mélèzes, parfois les douglas",Juillet > Octobre,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.0,15.0,3.0,12.0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
BOLET GRANULÉ,Les champignons mediocres,"4 à 14 cm, visqueux, jaunâtre, jaune ochracé à brun-roux","Adnés à un peu décurrents, fins, crème jaunâtre puis jaunes, pleurant de fines gouttelettes laiteuses",,"3 à 10 cm, blanchâtre à jaunâtre, finement granuleux au sommet",Blanchâtre à jaune,"Faible, un peu épicée",Douce,Uniquement sous les pins,Juillet > Octobre,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.0,14.0,3.0,10.0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
BOLET INDIGOTIER,Champignon à rejeter,"4 à 12 cm, sec, mat, velouté, blanchâtre, crème ochracé à ocre jaune","Fins, blancs puis jaunâtres, bleuissant vivement au toucher",,"4 à 10 cm, épais, de même couleur que le chapeau, creux.","Blanche, bleuissant très vivement et intensément à la coupe",Faible,Douce,Forêts de feuillus et de conifères,Juillet > Novembre,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.0,12.0,4.0,10.0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BOLET JAUNE,Les bons champignons,"4 à 14 cm, très visqueux, brun-jaune, brun-chocolat à brun-pourpre.","Fins, jaune vif puis jaune olivâtre",,"3 à 12 cm, blanc puis jaune, brunâtre à la base, avec un anneau ample blanchâtre et violacé en dessous.","Crème à jaunâtre, épaisse","Faible, fruitée","Douce, acidulée",Uniquement sous les pins,Août > Novembre,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,4.0,14.0,3.0,12.0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
BOLET ORANGÉ DES CHÊNES,Les bons champignons,"4 à 20 cm, sec, lisse, feutré, orangé vif à orangé rougeâtre, le bord du chapeau débordant sur les pores en dessous",Blancs puis grisâtres et enfin brun-gris,,"6 à 20 cm, élancé, blanc, couvert de fines écailles pâles vite roussissantes puis noircissantes","Blanche, puis rosissante, gris-lilas et enfin gris noirâtre à la coupe",Faible,Douce,Forêts de feuillus,Septembre > Novembre,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.0,20.0,6.0,20.0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BOLET POIVRÉ,Champignon à rejeter,"2 à 10 cm, sec ou visqueux par temps humide, brun-jaune à brun-rouge cuivré","Assez larges, polygonaux, cuivrés puis brun-rouille",,"4 à 10 cm, grêle, brun-jaune à brun-rouge. Mycélium jaune vif à la base","Crème, jaune vif dans le pied",Faible,Très poivrée,Forêts de feuillus et de conifères,Juillet > Octobre,1,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2.0,10.0,4.0,10.0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BOLET POMME DE PIN,Champignon à rejeter,"4 à 15 cm, couvert d’écailles laineuses épaisses et sombres, pyramidales, gris-noir ou brun-noir sur fond gris plus pâle","Gris pâle puis gris-brun, rougissant au toucher",,"5 à 15 cm, élancé, de même couleur que le chapeau, laineux à floconneux, avec un anneau bien visible chez les jeunes","Blanchâtre, rougissant nettement puis noircissant à la coupe",Faible,Douce,"Forêts de feuillus et de conifères, plutôt en montagne",Juillet > Octobre,1,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.0,15.0,5.0,15.0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
BOLET ROUX,Les bons champignons,"3 à 18 cm, velouté, mat, ocre orangé à brun orangé vif, le bord débordant sur les pores en dessous",Gris puis gris-brun,,"3 à 20 cm, long, robuste, blanc, très densément couvert de fines écailles brun sombre à noires","Blanche, puis rosissante, gris violacé et enfin noirâtre à la coupe",Faible,Douce,Uniquement sous les bouleaux,Juin > Octobre,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.0,18.0,3.0,20.0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
BOLET RUDE,Les champignons mediocres,"5 à 15 cm, lisse, velouté, ocre brun, brun tabac ou brun-châtain, parfois plus sombre","Blanchâtres, puis grisâtres et enfin brun ochracé",,"6 à 20 cm, long, blanchâtre, couvert de fines écailles grises puis brun noirâtre",Blanchâtre,Faible,Douce,Uniquement sous les bouleaux,Juin > Octobre,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5.0,15.0,6.0,20.0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
BOLET SATAN,Les champignons toxiques,"5 à 25 voire 30 cm, mat, blanchâtre à gris-beige mastic, puis teinté de gris-brun olivâtre","Assez fins, jaune orangé puis rouge orangé à rouge sang, bleuissant au toucher",,"5 à 15 cm, épais, ventru, jaune au sommet, rose vif vers la base, avec un réseau assez net","Blanchâtre à jaunâtre, faiblement bleuissante","Désagréable, de viande avariée",Douce,Forêts de feuillus,Juillet > Novembre,1,1,0,1,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,30.0,30.0,5.0,15.0,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CALOCÈRE VISQUEUSE,Champignon à rejeter,,,,Tronc assez ferme à la base,"Coriace et élastique, jaune",Faible,Douce,Sur les souches ou les débris de bois de conifères,Juin > Novembre,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
CALVATIE EN COUPE,Les champignons mediocres,"En forme de poire avec le pied bien individualisé. Tête sphérique (3 à 8 cm), blanche à brunâtre, couverte de petits aiguillons fragiles. À maturité, la tête se décompose.",,,"Long (2 à 8 cm), de la même couleur que le chapeau. Persiste longtemps après que la tête a disparu.","Cotonneuse, blanche puis olivâtre et pulvérulente dans la partie haute.","Faible, fongique",Douce,Forêts de feuillus et de conifères,Juillet > Novembre,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.0,8.0,2.0,8.0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CÈPE BRONZÉ,Les excellents champignons,"4 à 25 cm, sec, velouté, brun-noir à brun sombre, parfois teinté d’ochracé.","Fins, blancs puis crème et enfin jaune olivâtre.",,"5 à 15 cm, ventru, beige ochracé à brunâtre ou roussâtre, avec un réseau brunâtre discret.",Blanche,"Forte, agréable, de cèpe",Douce,"Forêts de feuillus, surtout sous les chênes",Juillet > Octobre,1,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.0,25.0,5.0,15.0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
